A000,A000,A001
A001,A001,A001
A009,A009,A009
A010,A010,A010
A011,A011,A012
A012,A012,A012
A013,A013,A013
A014,A014,A014
A020,A020,A020
A021,A021,A029
A022,A022,A022
A028,A028,A022
A029,A029,A029
A030,A030,A033
A031,A031,A039
A032,A032,A033
A033,A033,A033
A038,A038,A038
A039,A039,A039
A040,A040,A040
A041,A041,A046
A042,A042,A042
A043,A043,A043
A044,A044,A044
A045,A045,A045
A046,A046,A046
A047,A047,A052
A048,A048,A085
A049,A049,A049
A050,A050,A059
A051,A051,A051
A052,A052,A052
A053,A053,A062
A054,A054,A063
A058,A058,A064
A059,A059,A059
A060,A060,A067
A061,A061,A061
A062,A062,A062
A063,A063,A063
A064,A064,A064
A065,A065,A064
A066,A066,A066
A067,A067,A067
A068,A068,A068
A069,A069,A069
A070,A070,A070
A071,A071,A071
A072,A072,A072
A073,A073,A073
A078,A078,A078
A079,A079,A078
A080,A080,A080
A081,A081,A081
A082,A082,A082
A083,A083,A083
A084,A084,A084
A085,A085,A085
A090,A090,A090
A099,A099,A090
A150,A150,A150
A151,A151,A162
A152,A152,A152
A153,A153,A153
A154,A154,A163
A155,A155,A183
A156,A156,A165
A157,A157,A168
A158,A158,A168
A159,A159,A169
A160,A160,A160
A161,A161,A161
A162,A162,A162
A163,A163,A163
A164,A164,A183
A165,A165,A165
A167,A167,A169
A168,A168,A168
A169,A169,A169
A170,A170,A190
A171,A171,A171
A178,A178,A188
A179,A179,A188
A180,A180,A200
A181,A181,A181
A182,A182,A202
A183,A183,A183
A184,A184,A184
A185,A185,A186
A186,A186,A186
A187,A187,A210
A188,A188,A188
A190,A190,A190
A191,A191,A191
A192,A192,A192
A198,A198,A198
A199,A199,A192
A200,A200,A200
A201,A201,A201
A202,A202,A202
A203,A203,A203
A207,A207,A207
A208,A208,A208
A209,A209,A232
A210,A210,A210
A211,A211,A210
A212,A212,A212
A213,A213,A213
A217,A217,A217
A218,A218,A217
A219,A219,A244
A220,A220,A250
A221,A221,A221
A222,A222,A222
A227,A227,A227
A228,A228,A268
A229,A229,A269
A230,A230,A230
A231,A231,A231
A232,A232,A230
A233,A233,A230
A238,A238,A238
A239,A239,A239
A240,A240,A240
A241,A241,A241
A242,A242,A242
A243,A243,A243
A244,A244,A244
A250,A250,A250
A251,A251,A251
A259,A259,A259
A260,A260,A260
A267,A267,A267
A268,A268,A268
A269,A269,A269
A270,A270,A270
A278,A278,A278
A279,A279,A279
A280,A280,A35
A281,A281,A281
A282,A282,A282
A288,A288,A289
A289,A289,A289
A300,A300,A309
A301,A301,A370
A302,A302,A371
A303,A303,A378
A304,A304,A304
A305,A305,A305
A308,A308,A398
A309,A309,A309
A310,A310,A310
A311,A311,A311
A318,A318,A318
A319,A319,A319
A320,A320,A320
A321,A321,A321
A327,A327,A402
A328,A328,A403
A329,A329,A408
A33,A33,A33
A34,A34,A410
A35,A35,A35
A360,A360,A362
A361,A361,A414
A362,A362,A362
A363,A363,A363
A368,A368,A368
A369,A369,A369
A370,A370,A370
A371,A371,A371
A378,A378,A378
A379,A379,A379
A38,A38,A38
A390,A390,A390
A391,A391,A439
A392,A392,A392
A393,A393,A393
A394,A394,A480
A395,A395,A395
A398,A398,A398
A399,A399,A480
A400,A400,A400
A401,A401,A401
A402,A402,A402
A403,A403,A403
A408,A408,A408
A409,A409,A409
A410,A410,A410
A411,A411,A412
A412,A412,A412
A413,A413,A413
A414,A414,A414
A4158,A415,A415
A4150,A415,A415
A4151,A415,A504
A4152,A415,A505
A418,A418,A418
A419,A419,A419
A420,A420,A420
A421,A421,A512
A422,A422,A513
A427,A427,A427
A428,A428,A428
A429,A429,A429
A430,A430,A430
A431,A431,A431
A438,A438,A430
A439,A439,A439
A440,A440,A440
A441,A441,A440
A448,A448,A440
A449,A449,A549
A46,A46,A46
A480,A480,A480
A481,A481,A481
A482,A482,A482
A483,A483,A483
A484,A484,A484
A488,A488,A488
A4900,A490,A490
A4901,A490,A498
A491,A491,A491
A492,A492,A492
A493,A493,A493
A498,A498,A498
A499,A499,A499
A500,A500,A500
A501,A501,A501
A502,A502,A502
A503,A503,A601
A504,A504,A504
A505,A505,A500
A506,A506,A501
A507,A507,A502
A509,A509,A502
A510,A510,A510
A511,A511,A662
A512,A512,A512
A513,A513,A513
